feature,importance
cat__location_Delaunay,0.0
cat__location_Duprénec,0.0
cat__location_Dupré-sur-Tanguy,0.0
cat__location_Dupré-sur-Robert,0.0
cat__location_Dupontnec,0.0
cat__location_Dupont-sur-Mer,0.0
cat__location_Dumas-les-Bains,0.0
cat__location_Dumas,0.0
cat__location_Duhamelnec,0.0
cat__location_Duhamel-la-Forêt,0.0
cat__location_Dubois-sur-Mer,0.0
cat__location_Dubois,0.0
cat__location_Dos Santos,0.0
cat__location_DijouxVille,0.0
cat__location_Dijoux-sur-Charles,0.0
cat__location_Fischer,0.0
cat__location_Ferreira,0.0
cat__location_Ferrand,0.0
cat__location_Fernandez-sur-Michaud,0.0
cat__location_Fernandes-les-Bains,0.0
cat__location_Faivre-sur-Charles,0.0
cat__location_FabreVille,0.0
cat__location_Evrardnec,0.0
cat__location_Duval-sur-Charles,0.0
cat__location_Durand-sur-Grenier,0.0
cat__location_Durand,0.0
cat__location_Dupuisnec,0.0
cat__location_Dupuis-sur-Henry,0.0
cat__location_Gaillardboeuf,0.0
cat__location_Gaillard,0.0
cat__location_François-les-Bains,0.0
cat__location_Fourniernec,0.0
cat__location_Fournier-sur-Pires,0.0
cat__location_Fournier,0.0
cat__location_Fouquet,0.0
cat__location_Fouchernec,0.0
cat__location_Foucher-les-Bains,0.0
cat__location_FontaineVille,0.0
cat__location_Fontaine,0.0
cat__location_Fleury-sur-Godard,0.0
cat__location_Fleury-sur-Carlier,0.0
cat__location_Gimenez,0.0
cat__location_Gillet,0.0
cat__location_Gilles,0.0
cat__location_Gilbert,0.0
cat__location_GermainBourg,0.0
cat__location_Germain-les-Bains,0.0
cat__location_Germain-la-Forêt,0.0
cat__location_Gaudin-sur-Godard,0.0
cat__location_Gaudin,0.0
cat__location_Garnierboeuf,0.0
cat__location_Garnier-sur-Klein,0.0
cat__location_GarciaBourg,0.0
cat__location_Garcia,0.0
cat__location_Gallet,0.0
cat__location_Gros,0.0
cat__location_Grondin-sur-Dupuy,0.0
cat__location_Grondin,0.0
cat__location_Grenier,0.0
cat__location_Gosselinboeuf,0.0
cat__location_Gosselin-sur-Colin,0.0
cat__location_Gonzalez,0.0
cat__location_Goncalvesdan,0.0
cat__location_Goncalves,0.0
cat__location_Gomes,0.0
cat__location_Godard-la-Forêt,0.0
cat__location_Guyot,0.0
cat__location_Guyondan,0.0
cat__location_Guyon-sur-Mer,0.0
cat__location_Guyon-la-Forêt,0.0
cat__location_Guillou,0.0
cat__location_Guillot,0.0
cat__location_Guillon,0.0
cat__location_Guillaume-sur-Mer,0.0
cat__location_Guillaume-les-Bains,0.0
cat__location_Guichard-la-Forêt,0.0
cat__location_Guichard,0.0
cat__location_Guibert-les-Bains,0.0
